cartodb_id,the_geom,city,state,shape_1,duration,summary,posted,month,country,date_time,cartodb_georef_status
3469,0101000020E6100000A1F831E6AE3354C006F52D73BA9C3C40,Titusville,FL,Circle,5-6 seconds,"White sphere, no tail.",2015-08-06,July,USA,2015-07-25,true
3769,0101000020E6100000C2172653053F5AC0516B9A779CDE4340,Denver,CO,Sphere,1.5 minutes,"3 low-altitude orange globes, Denver, 4th of July, 2015.",2015-07-06,July,USA,2015-07-04,true
3424,0101000020E6100000C2172653053F5AC0516B9A779CDE4340,Denver,CO,Other,1-2 minutes,"Black medicine-capsule shaped object, flying horizontally at about dusk.",2015-08-13,July,USA,2015-07-28,true
3296,0101000020E6100000C2172653053F5AC0516B9A779CDE4340,Denver,CO,Light,2-3 minutes,"Light disappears, moves, reappears, and shoots short lightning-like discharge.",2015-08-13,August,USA,2015-08-04,true
3628,0101000020E61000001F2E39EE945256C016DEE522BE533F40,Hattiesburg,MS,Triangle,15 minutes,"I saw a triangular UFO with red and white lights while driving on Hwy 98 in Perry County, MS.",2015-08-13,July,USA,2015-07-14,true
3505,0101000020E61000001F2E39EE945256C016DEE522BE533F40,Hattiesburg,MS,Triangle,10 minutes,"I saw a triangular UFO with red and white lights while driving on Hwy 98 in Perry County, MS.",2015-08-13,July,USA,2015-07-23,true
4337,0101000020E6100000C6A2E9EC640C54C02046088F36C63940,Miami,FL,Circle,10 minutes,5 moving orange circles in the night sky,2015-06-15,June,USA,2015-06-05,true
3456,0101000020E6100000C6A2E9EC640C54C02046088F36C63940,Miami,FL,,25 minutes,Saw a craft rising with no noise. Changed colors. Went up very fast. Stopped for 10 min. Then headed east at an inexplicable rate.,2015-10-16,July,USA,2015-07-26,true
3423,0101000020E6100000C6A2E9EC640C54C02046088F36C63940,Miami,FL,Circle,,Red trail. Changed color. Hovered.,2015-03-06,March,USA,2015-03-01,true
3419,0101000020E610000084F57F0EF31557C073637AC2123F4540,Waterloo,IA,Sphere,1 minute,"Looked like 15-16 spheres which had translucent colors. Rotated around each each other slowly then disappeared; reappeared.",2015-07-31,July,USA,2015-07-29,true
3660,0101000020E61000004FCC7A3194FB53C0018750A566634040,Charleston,SC,Light,25 minutes,Three bright white lights moving across the sky stopped abruptly and formed into a triangle and then an L shaped formation.,2015-07-17,July,USA,2015-07-12,true
3014,0101000020E61000004FCC7A3194FB53C0018750A566634040,Charleston,SC,Cylinder,5 seconds,"Walked out on porch and glanced up just to see a lime-green cylinder shaped light appear in the NW skyline, it quickly descended.",2015-08-27,August,USA,2015-08-18,true
3735,0101000020E6100000AAD4EC8156B857C0CD58349D9DBC4740,Bemidji,MN,Circle,2 minutes,Color reddish orange orb and no noise and no flashing.,2015-07-10,July,USA,2015-07-04,true
3891,0101000020E610000023BE13B35E2652C073BA2C26364B4540,Greenfield,MA,Light,2 minutes,"Bright yellow pulsing or moving slowly upwards. Caught on camera and on video. Silent, peaceful, disappeared into overcast sky.",2015-07-06,July,USA,2015-07-04,true
3111,0101000020E61000007407B133851C54C04221020EA1E64240,Lewisburg,WV,Diamond,3 minutes,Out gazing at the meteor shower and spotted a weird set of steady orange lights to the south of us approx 5 miles moving slowly to the,2015-08-27,August,USA,2015-08-12,true
3287,0101000020E6100000643BDF4F8D4D54C02F51BD35B0C94140,Maiden,NC,Disk,5 minutes,I could see over the tree line a large object that was disc shape and almost look like a Zeppelin or some type of blimp.,2015-08-06,August,USA,2015-08-05,true
3789,0101000020E610000076E09C11A5B95EC0F0BF95ECD8844740,Olympia,WA,Fireball,30 minutes,"Orange, red, blue, and white brilliant star object hovering for 5 minute.",2015-07-06,July,USA,2015-07-04,true
3555,0101000020E610000076E09C11A5B95EC0F0BF95ECD8844740,Olympia,WA,Cigar,3 minutes,"Long dark silent cigar shaped object in Olympia, WA, with lights on both ends",2015-07-23,July,USA,2015-07-19,true
3274,0101000020E610000076E09C11A5B95EC0F0BF95ECD8844740,Olympia,WA,Other,Everyday,Tons of activity in Olympia's sky.,2015-07-31,July,USA,2015-07-28,true
3117,0101000020E610000076E09C11A5B95EC0F0BF95ECD8844740,Olympia,WA,Oval,4 seconds,Oval blue/ flashing a bright yellow zig-zagging before it left at great speed.,2015-08-13,August,USA,2015-08-12,true
3078,0101000020E61000002A5778978BC651C0645DDC4603104540,Stoughton,MA,Teardrop,10 minutes,It was blue and red or pink very colorful and well lit up.,2015-08-27,August,USA,2015-08-14,true
3288,0101000020E61000009FE57970774E57C082E2C798BB0A4640,Owatonna,MN,Cone,1-2 seconds,"Large white ball with green tail seen in Owatonna, MN. ((NUFORC Note: Possible meteor? PD))",2015-08-13,August,USA,2015-08-04,true
3671,0101000020E61000004A5E9D6340FC53C03B191C25AFA24240,Roanoke,VA,,2 minutes,I was sitting outside looking at the sky and noticed a fast moving object.Thought at first it was a plane then noticed that it had circ,2015-07-17,July,USA,2015-07-11,true
3036,0101000020E610000069E388B5F88655C014799274CD644540,Holland,MI,Circle,45 minutes,Like a light bouncing around inside,2015-08-27,August,USA,2015-08-16,true
3054,0101000020E610000019ADA3AA09B85EC0B6BE4868CB294540,Medford,OR,Fireball,2 minutes,Fire ball inferno on opposing valley wall. Then vanished.,2016-01-14,August,USA,2015-08-15,true
3514,0101000020E61000005E4BC8073D0754C027A5A0DB4B223A40,Sunrise,FL,Circle,3 minutes,6 bright orange circle objects flying bird formation with one larger one trailing behind.,2015-08-06,July,USA,2015-07-22,true
3706,0101000020E6100000B745990D322355C0B515FBCBEEF94040,Marietta,GA,Fireball,5 seconds,((NUFORC Note: No information provided by witness. PD)),2015-07-17,July,USA,2015-07-10,true
3704,0101000020E6100000B745990D322355C0B515FBCBEEF94040,Marietta,GA,Fireball,5 seconds,"The object looked like a small Sun, but not as bright. It did not have a trail but did have a wide tail the same width as the front.",2015-07-17,July,USA,2015-07-10,true
3276,0101000020E6100000B745990D322355C0B515FBCBEEF94040,Marietta,GA,Fireball,5 minutes,Object was going I. The direction of the Dobens Air Force base at a high rate of seed red and with a smoke trail short behind it it mov,2015-09-11,August,USA,2015-08-05,true
3757,0101000020E61000001405FA449E965DC00BB5A679C7114140,Universal City,CA,Other,1-2 minutes,Boomerang-shaped UFO materializes over Universal City.,2015-07-17,July,USA,2015-07-03,true
3608,0101000020E6100000344B02D4D42A54C0BD00FBE8D4894140,Indian Trail,NC,Cigar,2 minutes,5 cigar shaped craft at high altitude.,2015-07-17,July,USA,2015-07-16,true
3785,0101000020E6100000006F8104C59152C0205ED72FD84D4440,Rahway,NJ,Fireball,90 seconds,"One big orange orb like object in the sky's of Rahway, NJ, an hour after 7/4/15 fireworks.",2015-07-06,July,USA,2015-07-04,true
3902,0101000020E6100000087767EDB66154C04E2844C0214C4440,Strasburg,OH,Circle,20 minutes,Follow up to prior report.,2015-07-06,July,USA,2015-07-04,true
3898,0101000020E6100000087767EDB66154C04E2844C0214C4440,Strasburg,OH,Sphere,20 minutes,6 UFO's. Brilliant RED. Larger than commercial aircraft. Faster than commercial aircraft. No sound.,2015-07-06,July,USA,2015-07-04,true
3839,0101000020E61000000395F1EF333E5AC057CF49EF1BEF4340,Thornton,CO,Unknown,5 minutes,Craft with 4 lights videoed at 4th of July fireworks.,2015-07-17,July,USA,2015-07-04,true
3186,0101000020E61000000395F1EF333E5AC057CF49EF1BEF4340,Thornton,CO,Circle,3 minutes,"Orange flying lights over DIA seen from Thornton, CO.",2015-08-06,July,USA,2015-07-30,true
2941,0101000020E61000000395F1EF333E5AC057CF49EF1BEF4340,Thornton,CO,Other,2 minutes,"Blue spider-like flying airplane; could not hear its sound.",2015-08-27,August,USA,2015-08-17,true
